SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
somsta1,Somali Starling,Somali Starling
socsta1,Socotra Starling,Socotra Starling
spwsta1,斑翅椋鸟,Spot-winged Starling
babsta1,Babbling Starling,Babbling Starling
babsta2,Babbling Starling (Western),Babbling Starling (Western)
babsta3,Babbling Starling (Eastern),Babbling Starling (Eastern)
whcsta2,White-collared Starling,White-collared Starling
magsta1,Magpie Starling,Magpie Starling
shasta2,Sharpe's Starling,Sharpe's Starling
abbsta2,Abbott's Starling,Abbott's Starling
natsta1,Narrow-tailed Starling,Narrow-tailed Starling
stusta1,Stuhlmann's Starling,Stuhlmann's Starling
kensta1,Kenrick's Starling,Kenrick's Starling
bbgsta1,Black-bellied Starling,Black-bellied Starling
phgsta1,Purple-headed Starling,Purple-headed Starling
ctgsta1,Copper-tailed Starling,Copper-tailed Starling
hilsta1,Hildebrandt's Starling,Hildebrandt's Starling
shesta1,Shelley's Starling,Shelley's Starling
bugsta1,Burchell's Starling,Burchell's Starling
