SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
whbmin3,White-bellied Minivet,White-bellied Minivet
whbmin2,Jerdon's Minivet,Jerdon's Minivet
fiemin1,Fiery Minivet,Fiery Minivet
smamin1,小山椒鸟,Small Minivet
gycmin1,灰喉山椒鸟,Gray-chinned Minivet
gycmin2,灰喉山椒鸟 (淡喉),Gray-chinned Minivet (Gray-chinned)
gycmin3,灰喉山椒鸟 (montanus/cinereigula),Gray-chinned Minivet (Gray-throated)
sunmin1,Sunda Minivet,Sunda Minivet
shbmin2,短嘴山椒鸟,Short-billed Minivet
flomin1,Little Minivet,Flores Minivet
lotmin1,长尾山椒鸟,Long-tailed Minivet
scamin3,Orange Minivet,Orange Minivet
scamin1,赤红山椒鸟,Scarlet Minivet
scamin2,赤红山椒鸟 (赤红),Scarlet Minivet (Scarlet)
scamin6,赤红山椒鸟 (leytensis/novus),Scarlet Minivet (Philippine Red)
scamin4,赤红山椒鸟 [marchesae Group],Scarlet Minivet (Philippine Yellow)
scamin5,赤红山椒鸟 (exul/siebersi),Scarlet Minivet (Javan)
ryumin1,琉球山椒鸟,Ryukyu Minivet
ashmin1,灰山椒鸟,Ashy Minivet
y01115,琉球山椒鸟/灰山椒鸟,Ryukyu/Ashy Minivet
brrmin1,小灰山椒鸟,Brown-rumped Minivet
y00974,灰山椒鸟/小灰山椒鸟,Ashy/Brown-rumped Minivet
rosmin1,粉红山椒鸟,Rosy Minivet
rosmin3,小灰山椒鸟x粉红山椒鸟 (杂交),Brown-rumped x Rosy Minivet (hybrid)
minive2,未识别的红色山椒鸟,minivet sp. (red minivet sp.)
minive3,未识别的灰色山椒鸟,minivet sp. (gray minivet sp.)
minive1,未识别的山椒鸟,minivet sp.
ashcus3,Comoro Cuckooshrike,Comoro Cuckooshrike
ashcus2,Madagascar Cuckooshrike,Madagascar Cuckooshrike
gracus1,Grauer's Cuckooshrike,Grauer's Cuckooshrike
grycus1,Grey Cuckooshrike,Gray Cuckooshrike
whbcus2,White-breasted Cuckooshrike,White-breasted Cuckooshrike
stbcus1,Stout-billed Cuckooshrike,Stout-billed Cuckooshrike
hoocus1,Hooded Cuckooshrike,Hooded Cuckooshrike
piecus1,Pied Cuckooshrike,Pied Cuckooshrike
cercus1,Cerulean Cuckooshrike,Cerulean Cuckooshrike
grocus1,Ground Cuckooshrike,Ground Cuckooshrike
yeecus1,Barred Cuckooshrike,Barred Cuckooshrike
boycus1,Boyer's Cuckooshrike,Boyer's Cuckooshrike
bkfcus1,Black-faced Cuckooshrike,Black-faced Cuckooshrike
melcus3,North Melanesian Cuckooshrike,North Melanesian Cuckooshrike
whbcus1,White-bellied/Manus Cuckooshrike,White-bellied Cuckooshrike
whbcuc14,White-bellied Cuckooshrike,White-bellied Cuckooshrike (White-bellied)
whbcus4,Manus Cuckooshrike,White-bellied Cuckooshrike (Manus)
molcus1,Moluccan Cuckooshrike,Moluccan Cuckooshrike
melcus1,South Melanesian Cuckooshrike,South Melanesian Cuckooshrike
larcuc1,印度鹃鵙,Indian Cuckooshrike
larcuc11,大鹃鵙,Oriental Cuckooshrike
javcus1,大鹃鵙 (javensis),Oriental Cuckooshrike (Javan)
larcuc2,大鹃鵙 (广布),Oriental Cuckooshrike (Oriental)
larcuc9,大鹃鵙 (华南),Oriental Cuckooshrike (East Asian)
y01313,印度鹃鵙/大鹃鵙,Indian/Oriental Cuckooshrike
larcuc3,马来鹃鵙,Malayan Cuckooshrike
babcus1,Bar-bellied Cuckooshrike,Bar-bellied Cuckooshrike
babcuc25,Bar-bellied Cuckooshrike (Roving),Bar-bellied Cuckooshrike (Roving)
babcuc3,Bar-bellied Cuckooshrike (Philippine),Bar-bellied Cuckooshrike (Philippine)
babcuc19,Mindoro Cuckooshrike,Mindoro Cuckooshrike
babcuc5,Visayan Cuckooshrike,Visayan Cuckooshrike
mincuc1,Mindanao Cuckooshrike,Mindanao Cuckooshrike
babcuc24,Sulu Cuckooshrike,Sulu Cuckooshrike
andcus1,Andaman Cuckooshrike,Andaman Cuckooshrike
suncus1,Sunda Cuckooshrike,Sunda Cuckooshrike
walcus1,Wallacean Cuckooshrike,Wallacean Cuckooshrike
walcuc1,Wallacean Cuckooshrike (Kai),Wallacean Cuckooshrike (Kai)
walcuc2,Wallacean Cuckooshrike (Flores),Wallacean Cuckooshrike (Flores)
walcuc4,Wallacean Cuckooshrike (Sumba),Wallacean Cuckooshrike (Sumba)
walcuc5,Wallacean Cuckooshrike (Timor),Wallacean Cuckooshrike (Timor)
walcuc6,Wallacean Cuckooshrike (Tanimbar),Wallacean Cuckooshrike (Tanimbar)
walcuc3,Wallacean Cuckooshrike (Alor),Wallacean Cuckooshrike (Alor)
halcus1,Halmahera Cuckooshrike,Halmahera Cuckooshrike
burcus1,Buru Cuckooshrike,Buru Cuckooshrike
whrcus1,White-rumped Cuckooshrike,White-rumped Cuckooshrike
slacus1,Slaty Cuckooshrike,Slaty Cuckooshrike
cuckoo2,Coracina sp.,Coracina sp.
ghacus1,Western Wattled Cuckooshrike,Ghana Cuckooshrike
oricus1,Eastern Wattled Cuckooshrike,Oriole Cuckooshrike
blkcus1,Black Cuckooshrike,Black Cuckooshrike
petcus1,Petit's Cuckooshrike,Petit's Cuckooshrike
rescus1,Red-shouldered Cuckooshrike,Red-shouldered Cuckooshrike
putcus1,Purple-throated Cuckooshrike,Purple-throated Cuckooshrike
afrcuc2,african cuckooshrike sp.,african cuckooshrike sp.
golcus1,Golden Cuckooshrike,Golden Cuckooshrike
mcgcus1,McGregor's Cuckooshrike,McGregor's Cuckooshrike
poltri1,Polynesian Triller,Polynesian Triller
samtri1,Samoan Triller,Samoan Triller
lottri1,Long-tailed Triller,Long-tailed Triller
whwtri2,White-shouldered Triller,White-shouldered Triller
whwtri1,White-winged Triller,White-winged Triller
blbtri1,Black-browed Triller,Black-browed Triller
bkbtri2,Biak Triller,Biak Triller
whbtri1,White-browed Triller,White-browed Triller
vartri1,Varied Triller,Varied Triller
vartri3,Mussau Triller,Mussau Triller
bawtri1,Black-and-white Triller,Black-and-white Triller
bawtri2,Black-and-white Triller (Northern),Black-and-white Triller (Northern)
bawtri3,Black-and-white Triller (Southern),Black-and-white Triller (Southern)
whrtri1,White-rumped Triller,White-rumped Triller
pietri1,黑鸣鹃鵙,Pied Triller
rubtri1,Rufous-bellied Triller,Rufous-bellied Triller
reucus1,Reunion Cuckooshrike,Reunion Cuckooshrike
maucus1,Mauritius Cuckooshrike,Mauritius Cuckooshrike
bkwcus1,暗灰鹃鵙,Black-winged Cuckooshrike
bkhcus1,Black-headed Cuckooshrike,Black-headed Cuckooshrike
y00408,Indian/Oriental/Black-headed Cuckooshrike,Indian/Oriental/Black-headed Cuckooshrike
lescus1,Lesser Cuckooshrike,Lesser Cuckooshrike
indcus1,Indochinese Cuckooshrike,Indochinese Cuckooshrike
trille1,Lalage sp.,Lalage sp.
pygcus1,Pygmy Cuckooshrike,Pygmy Cuckooshrike
blucus1,Blue Cuckooshrike,Blue Cuckooshrike
neccus1,New Caledonian Cuckooshrike,New Caledonian Cuckooshrike
blacus1,Blackish Cuckooshrike,Blackish Cuckooshrike
whwcus1,White-winged Cuckooshrike,White-winged Cuckooshrike
bkbcus2,Black-bellied Cuckooshrike,Black-bellied Cicadabird
sumcus1,Pale-shouldered Cicadabird,Pale-shouldered Cicadabird
kaicus1,Kai Cicadabird,Kai Cicadabird
timcic1,Timor Cicadabird,Timor Cicadabird
timcic2,Timor Cicadabird (Flores Sea),Timor Cicadabird (Flores Sea)
comcic12,Timor Cicadabird (Timor),Timor Cicadabird (Timor)
pagcus1,Pale Cicadabird,Pale Cicadabird
cicada3,Pohnpei Cicadabird,Pohnpei Cicadabird
bkbcus1,Black-bibbed Cicadabird,Black-bibbed Cicadabird
bkbcuc1,Black-bibbed Cicadabird (Luzon),Black-bibbed Cicadabird (Luzon)
bkbcuc2,Black-bibbed Cicadabird (Mindoro),Black-bibbed Cicadabird (Mindoro)
bkbcic3,Black-bibbed Cicadabird (Mindanao),Black-bibbed Cicadabird (Mindanao)
bkbcuc5,Black-bibbed Cicadabird (Sulu),Black-bibbed Cicadabird (Sulu)
gyhcus1,Grey-headed Cuckooshrike,Gray-headed Cicadabird
negcus1,Black Cicadabird,Black Cicadabird
soicus1,Solomons Cicadabird,Solomons Cicadabird
solcuc3,Solomons Cicadabird (Solomons),Solomons Cicadabird (Solomons)
solcuc2,Solomons Cicadabird (New Georgia),Solomons Cicadabird (New Georgia)
solcuc4,Malaita Cicadabird,Malaita Cicadabird
cicada7,Makira Cicadabird,Makira Cicadabird
mancic1,Admiralty Cicadabird,Manus Cicadabird
sancic1,Sangihe Cicadabird,Sangihe Cicadabird
sulcic2,Sangihe Cicadabird (Sangihe),Sangihe Cicadabird (Sangihe)
sulcic1,Sangihe Cicadabird (Talaud),Sangihe Cicadabird (Talaud)
cicada4,Palau Cicadabird,Palau Cicadabird
cicada5,Yap Cicadabird,Yap Cicadabird
cemcic1,Central Melanesian Cicadabird,Central Melanesian Cicadabird
comcic26,Central Melanesian Cicadabird (Lihir),Central Melanesian Cicadabird (Lihir)
cemcic2,Central Melanesian Cicadabird (Central Melanesian),Central Melanesian Cicadabird (Central Melanesian)
comcic29,Central Melanesian Cicadabird (Pavuvu),Central Melanesian Cicadabird (Pavuvu)
sulcus2,Sulawesi Cicadabird,Sulawesi Cicadabird
comcic4,Geelvink Cicadabird,Geelvink Cicadabird
comcic19,Banggai Cicadabird,Banggai Cicadabird
comcic20,Obi Cicadabird,Obi Cicadabird
sulcus1,Sula Cicadabird,Sula Cicadabird
nomcic1,North Moluccan Cicadabird,North Moluccan Cicadabird
comcic10,North Moluccan Cicadabird (Tukangbesi),North Moluccan Cicadabird (Tukangbesi)
comcic3,North Moluccan Cicadabird (North Moluccan),North Moluccan Cicadabird (North Moluccan)
papcus1,Black-shouldered Cicadabird,Papuan Cicadabird
comcic6,Bismarck Cicadabird,Bismarck Cicadabird
comcic25,Bismarck Cicadabird (Mussau),Bismarck Cicadabird (Mussau)
cicada6,Bismarck Cicadabird (New Ireland),Bismarck Cicadabird (New Ireland)
comcic23,Bismarck Cicadabird (Umboi),Bismarck Cicadabird (Umboi)
comcic24,Bismarck Cicadabird (New Britain),Bismarck Cicadabird (New Britain)
comcic5,Rossel Cicadabird,Rossel Cicadabird
comcic11,South Moluccan Cicadabird,South Moluccan Cicadabird
cicada1,Sahul Cicadabird,Sahul Cicadabird
sahcic1,Sahul Cicadabird (Papuan),Sahul Cicadabird (Papuan)
comcic16,Sahul Cicadabird (Tagula),Sahul Cicadabird (Tagula)
comcic17,Sahul Cicadabird (Rainforest),Sahul Cicadabird (Rainforest)
comcic18,Sahul Cicadabird (Woodland),Sahul Cicadabird (Woodland)
edolis1,Edolisoma sp.,Edolisoma sp.
cuckoo4,未识别的鹃鵙,cuckooshrike sp.
whiteh1,Whitehead,Whitehead
yellow3,Yellowhead,Yellowhead
pipipi1,Pipipi,Pipipi
blksit1,Black Sittella,Black Sittella
varsit1,Papuan Sittella,Papuan Sittella
varsit8,Varied Sittella,Varied Sittella
varsit3,Varied Sittella (White-winged),Varied Sittella (White-winged)
varsit4,Varied Sittella (Striated),Varied Sittella (Striated)
varsit5,Varied Sittella (White-headed),Varied Sittella (White-headed)
varsit6,Varied Sittella (Orange-winged),Varied Sittella (Orange-winged)
varsit7,Varied Sittella (Black-capped),Varied Sittella (Black-capped)
papwhi1,Papuan Whipbird,Papuan Whipbird
easwhi1,Eastern Whipbird,Eastern Whipbird
weswhi1,Black-throated/White-bellied Whipbird,Western Whipbird
weswhi3,Black-throated Whipbird,Western Whipbird (Black-throated)
weswhi4,White-bellied Whipbird,Western Whipbird (White-bellied)
chiwed1,Chiming Wedgebill,Chiming Wedgebill
chiwed2,Chirruping Wedgebill,Chirruping Wedgebill
watplo1,Wattled Ploughbill,Wattled Ploughbill
crebel1,Crested Bellbird,Crested Bellbird
runwhi1,Rufous-naped Bellbird,Rufous-naped Bellbird
crepit1,Piping Bellbird,Piping Bellbird
cresht1,Eastern Shriketit,Eastern Shrike-tit
cresht2,Western Shriketit,Western Shrike-tit
cresht3,Northern Shriketit,Northern Shrike-tit
titber1,Tit Berrypecker,Tit Berrypecker
creber3,Western Crested Berrypecker,Western Crested Berrypecker
creber2,Eastern Crested Berrypecker,Eastern Crested Berrypecker
creber1,Western/Eastern Crested Berrypecker,Western/Eastern Crested Berrypecker
bhsbab1,棕腹鵙鹛,Black-headed Shrike-Babbler
wbsbab2,Pied Shrike-babbler,Pied Shrike-Babbler
whbshb1,红翅鵙鹛,White-browed Shrike-Babbler
himshb1,红翅鵙鹛 (喜山西部),White-browed Shrike-Babbler (Himalayan)
blyshb4,红翅鵙鹛 (喜山东部),White-browed Shrike-Babbler (Chestnut-winged)
blyshb3,红翅鵙鹛 (灰胸),White-browed Shrike-Babbler (Gray-breasted)
blyshb2,红翅鵙鹛 [aeralatus Group],White-browed Shrike-Babbler (Blyth's)
dalshb1,红翅鵙鹛 (annamensis),White-browed Shrike-Babbler (Dalat)
grsbab1,淡绿鵙鹛,Green Shrike-Babbler
grnshb2,淡绿鵙鹛 (黑顶),Green Shrike-Babbler (Black-crowned)
grnshb1,淡绿鵙鹛 (白眶),Green Shrike-Babbler (Eye-ringed)
besbab1,栗喉鵙鹛,Black-eared Shrike-Babbler
cfsbab1,Trilling Shrike-babbler,Trilling Shrike-Babbler
clishb1,栗额鵙鹛,Clicking Shrike-Babbler
clishb2,栗额鵙鹛 (aenobarbulus),Clicking Shrike-Babbler (Garo Hills)
clishb3,栗额鵙鹛 (中南半岛),Clicking Shrike-Babbler (Clicking)
shrike2,未识别的鵙鹛,shrike-babbler sp.
whbyuh1,白腹凤鹛,White-bellied Erpornis
rubpep1,Rufous-browed Peppershrike,Rufous-browed Peppershrike
rubpep2,Rufous-browed Peppershrike (Northern),Rufous-browed Peppershrike (Northern)
rubpep3,Rufous-browed Peppershrike (Cozumel I.),Rufous-browed Peppershrike (Cozumel I.)
rubpep4,Rufous-browed Peppershrike (Yellow-backed),Rufous-browed Peppershrike (Yellow-backed)
rubpep5,Rufous-browed Peppershrike (Chaco),Rufous-browed Peppershrike (Chaco)
rubpep6,Rufous-browed Peppershrike (Ochre-crowned),Rufous-browed Peppershrike (Ochre-crowned)
blbpep1,Black-billed Peppershrike,Black-billed Peppershrike
y00891,Rufous-browed/Black-billed Peppershrike,Rufous-browed/Black-billed Peppershrike
gyegre1,Grey-eyed Greenlet,Gray-eyed Greenlet
gyegre2,Grey-eyed Greenlet (Beni),Gray-eyed Greenlet (Beni)
rucgre1,Rufous-crowned Greenlet,Rufous-crowned Greenlet
oligre1,Olivaceous Greenlet,Olivaceous Greenlet
ashgre1,Ashy-headed Greenlet,Ashy-headed Greenlet
scrgre1,Scrub Greenlet,Scrub Greenlet
scrgre2,Scrub Greenlet (Yellow-green),Scrub Greenlet (Yellow-green)
scrgre3,Scrub Greenlet (Scrub),Scrub Greenlet (Scrub)
scrgre4,Scrub Greenlet (Tobago),Scrub Greenlet (Tobago)
gycgre1,Grey-chested Greenlet,Gray-chested Greenlet
brhgre1,Brown-headed Greenlet,Brown-headed Greenlet
lecgre2,Lemon-chested Greenlet,Lemon-chested Greenlet
lecgre1,Lemon-chested Greenlet (Lemon-chested),Lemon-chested Greenlet (Lemon-chested)
lecgre3,Lemon-chested Greenlet (Rio de Janeiro),Lemon-chested Greenlet (Rio de Janeiro)
cssvir1,Chestnut-sided Shrike-Vireo,Chestnut-sided Shrike-Vireo
grsvir1,Green Shrike-Vireo,Green Shrike-Vireo
ybsvir1,Yellow-browed Shrike-Vireo,Yellow-browed Shrike-Vireo
scsvir1,Slaty-capped Shrike-Vireo,Slaty-capped Shrike-Vireo
slcshv1,Slaty-capped Shrike-Vireo (Pale-legged),Slaty-capped Shrike-Vireo (Pale-legged)
slcshv2,Slaty-capped Shrike-Vireo (Slaty-capped),Slaty-capped Shrike-Vireo (Slaty-capped)
tacgre2,Tawny-crowned Greenlet (Ochre-crowned),Ochre-crowned Greenlet
tacgre4,Tawny-crowned Greenlet (Rufous-fronted),Rufous-fronted Greenlet
tacgre5,Tawny-crowned Greenlet (Guianan),Guianan Greenlet
y01347,Tawny-crowned Greenlet (Rufous-fronted/Guianan),Rufous-fronted/Guianan Greenlet
tacgre3,Tawny-crowned Greenlet (Para),Para Greenlet
y01352,Tawny-crowned Greenlet (Rufous-fronted/Para),Rufous-fronted/Para Greenlet
lesgre1,Lesser Greenlet,Lesser Greenlet
lesgre2,Lesser Greenlet (Northern),Lesser Greenlet (Northern)
lesgre3,Lesser Greenlet (Grey-headed),Lesser Greenlet (Gray-headed)
ducgre1,Dusky-capped Greenlet,Dusky-capped Greenlet
bucgre1,Buff-cheeked Greenlet,Buff-cheeked Greenlet
gofgre1,Golden-fronted Greenlet,Golden-fronted Greenlet
rungre1,Rufous-naped Greenlet,Rufous-naped Greenlet
greenl1,greenlet sp.,greenlet sp.
golvir1,Golden Vireo,Golden Vireo
blmvir1,Blue Mountain Vireo,Blue Mountain Vireo
slavir1,Slaty Vireo,Slaty Vireo
bkcvir1,Black-capped Vireo,Black-capped Vireo
dwavir1,Dwarf Vireo,Dwarf Vireo
whevir,White-eyed Vireo,White-eyed Vireo
whevir1,White-eyed Vireo (White-eyed),White-eyed Vireo (White-eyed)
whevir2,White-eyed Vireo (Veracruz),White-eyed Vireo (Veracruz)
x01067,Black-capped x White-eyed Vireo (hybrid),Black-capped x White-eyed Vireo (hybrid)
thbvir,Thick-billed Vireo,Thick-billed Vireo
manvir1,Mangrove/Providencia Vireo,Mangrove Vireo
manvir4,Mangrove Vireo (West Mexico),Mangrove Vireo (West Mexico)
manvir3,Mangrove Vireo (Northern Central America),Mangrove Vireo (Northern Central America)
thbvir2,Providencia Vireo,Mangrove Vireo (Providencia)
manvir2,Mangrove Vireo (Southern Central America),Mangrove Vireo (Southern Central America)
cozvir1,Cozumel Vireo,Cozumel Vireo
stavir1,San Andres Vireo,San Andres Vireo
jamvir1,Jamaican Vireo,Jamaican Vireo
cubvir1,Cuban Vireo,Cuban Vireo
purvir1,Puerto Rican Vireo,Puerto Rican Vireo
flbvir1,Flat-billed Vireo,Flat-billed Vireo
belvir,Bell's Vireo,Bell's Vireo
belvir1,Bell's Vireo (Eastern),Bell's Vireo (Eastern)
belvir2,Bell's Vireo (Arizona),Bell's Vireo (Arizona)
belvir3,Bell's Vireo (Least),Bell's Vireo (Least)
gryvir,Grey Vireo,Gray Vireo
hutvir,Hutton's Vireo,Hutton's Vireo
hutvir1,Hutton's Vireo (Pacific),Hutton's Vireo (Pacific)
hutvir2,Hutton's Vireo (Interior),Hutton's Vireo (Interior)
yetvir,Yellow-throated Vireo,Yellow-throated Vireo
yewvir1,Yellow-winged Vireo,Yellow-winged Vireo
chovir1,Choco Vireo,Choco Vireo
casvir,Cassin's Vireo,Cassin's Vireo
casvir1,Cassin's Vireo (Cassin's),Cassin's Vireo (Cassin's)
casvir2,Cassin's Vireo (San Lucas),Cassin's Vireo (San Lucas)
buhvir,Blue-headed Vireo,Blue-headed Vireo
x00411,Yellow-throated x Blue-headed Vireo (hybrid),Yellow-throated x Blue-headed Vireo (hybrid)
y00485,Cassin's/Blue-headed Vireo,Cassin's/Blue-headed Vireo
plsvir,Plumbeous Vireo,Plumbeous Vireo
pluvir1,Plumbeous Vireo (Plumbeous),Plumbeous Vireo (Plumbeous)
pluvir2,Plumbeous Vireo (Central American),Plumbeous Vireo (Central American)
x01238,Yellow-throated x Plumbeous Vireo (hybrid),Yellow-throated x Plumbeous Vireo (hybrid)
x00412,Plumbeous x Blue-headed Vireo (hybrid),Blue-headed x Plumbeous Vireo (hybrid)
y00484,Cassin's/Plumbeous Vireo,Cassin's/Plumbeous Vireo
y01323,Blue-headed/Plumbeous Vireo,Blue-headed/Plumbeous Vireo
solvir1,solitary vireo sp.,solitary vireo sp.
tepgre1,Tepui Vireo,Tepui Vireo
phivir,Philadelphia Vireo,Philadelphia Vireo
eawvir1,Warbling Vireo (Eastern),Eastern Warbling Vireo
y00704,Philadelphia/Warbling Vireo,Philadelphia/Eastern Warbling Vireo
wewvir2,Warbling Vireo (Western),Western Warbling Vireo
warvir,Warbling Vireo,Eastern/Western Warbling Vireo
brcvir1,Brown-capped Vireo,Brown-capped Vireo
bncvir12,Brown-capped Vireo (Northern),Brown-capped Vireo (Northern)
bncvir13,Brown-capped Vireo (Southern),Brown-capped Vireo (Southern)
reevir1,Red-eyed Vireo,Red-eyed Vireo
x00889,Philadelphia x Red-eyed Vireo (hybrid),Philadelphia x Red-eyed Vireo (hybrid)
x01239,Warbling (Eastern) x Red-eyed Vireo (hybrid),Eastern Warbling x Red-eyed Vireo (hybrid)
x01240,Warbling (Western) x Red-eyed Vireo (hybrid),Western Warbling x Red-eyed Vireo (hybrid)
x00890,Warbling x Red-eyed Vireo (hybrid),Eastern/Western Warbling x Red-eyed Vireo (hybrid)
y00741,Philadelphia/Red-eyed Vireo,Philadelphia/Red-eyed Vireo
chivir1,Chivi Vireo,Chivi Vireo
reevir3,Chivi Vireo (resident),Chivi Vireo (resident)
reevir2,Chivi Vireo (migratory),Chivi Vireo (migratory)
reevir,Red-eyed/Chivi Vireo,Red-eyed/Chivi Vireo
norvir1,Noronha Vireo,Noronha Vireo
yegvir,Yellow-green Vireo,Yellow-green Vireo
yegvir5,Yellow-green Vireo (Yellow-green),Yellow-green Vireo (Yellow-green)
yegvir2,Yellow-green Vireo (Tres Marias Is.),Yellow-green Vireo (Tres Marias Is.)
y01145,Red-eyed/Yellow-green Vireo,Red-eyed/Yellow-green Vireo
bkwvir,Black-whiskered Vireo,Black-whiskered Vireo
y01146,Red-eyed/Black-whiskered Vireo,Red-eyed/Black-whiskered Vireo
yucvir,Yucatan Vireo,Yucatan Vireo
yucvir1,Yucatan Vireo (Yucatan),Yucatan Vireo (Yucatan)
yucvir2,Yucatan Vireo (Cayman),Yucatan Vireo (Cayman)
vireo2,vireo sp. (Red-eyed Vireo complex),vireo sp. (Red-eyed Vireo complex)
vireo1,vireo sp.,vireo sp.
ruspit1,Rusty Pitohui,Rusty Pitohui
whbpit1,White-bellied Pitohui,White-bellied Pitohui
sansht2,Sandstone Shrikethrush,Sandstone Shrikethrush
bowsht1,Bower's Shrikethrush,Bower's Shrikethrush
grysht1,Grey Shrikethrush,Gray Shrikethrush
gryshr7,Grey Shrikethrush (Grey),Gray Shrikethrush (Gray)
gryshr8,Grey Shrikethrush (Brown-backed),Gray Shrikethrush (Brown-backed)
soosht1,Sooty Shrikethrush,Sooty Shrikethrush
litshr31,little shrikethrush sp.,Little Shrikethrush
litshr5,Variable Shrikethrush,Little Shrikethrush (Variable)
litshr6,Waigeo Shrikethrush,Little Shrikethrush (Waigeo)
litshr1,Mamberamo Shrikethrush,Little Shrikethrush (Mamberamo)
litshr3,Sepik-Ramu Shrikethrush,Little Shrikethrush (Sepik-Ramu)
rufsht2,Arafura Shrikethrush,Little Shrikethrush (Arafura)
litshr4,Tagula Shrikethrush,Little Shrikethrush (Tagula)
litshr2,Rufous Shrikethrush,Little Shrikethrush (Rufous)
y00409,Arafura/Rufous Shrikethrush,Little Shrikethrush (Arafura/Rufous)
collur1,Colluricincla sp.,Colluricincla sp.
blapit1,Black Pitohui,Black Pitohui
sansht1,Sangihe Whistler,Sangihe Whistler
mabwhi1,Maroon-backed Whistler,Maroon-backed Whistler
oliwhi1,Olive Whistler,Olive Whistler
relwhi1,Red-lored Whistler,Red-lored Whistler
gilwhi1,Gilbert's Whistler,Gilbert's Whistler
batwhi1,Bare-throated Whistler,Bare-throated Whistler
fabwhi1,Fawn-breasted Whistler,Fawn-breasted Whistler
fabwhi2,Fawn-breasted Whistler (Timor),Fawn-breasted Whistler (Timor)
yetwhi4,Fawn-breasted Whistler (Banda Sea),Fawn-breasted Whistler (Banda Sea)
regwhi1,Regent Whistler,Regent Whistler
necwhi2,Melanesian Whistler,Vanuatu Whistler
vanwhi5,Melanesian Whistler (Vanuatu),Vanuatu Whistler (Vanuatu)
vanwhi4,Melanesian Whistler (Loyalty),Vanuatu Whistler (Loyalty)
vogwhi1,Vogelkop Whistler,Vogelkop Whistler
sclwhi1,Sclater's Whistler,Sclater's Whistler
sclwhi8,Sclater's Whistler (Sclater's),Sclater's Whistler (Sclater's)
sclwhi5,Sclater's Whistler (Bomberai),Sclater's Whistler (Bomberai)
sclwhi7,Sclater's Whistler (undescribed Fakfak form),Sclater's Whistler (undescribed Fakfak form)
whtwhi1,White-throated Fiji Whistler,White-throated Fiji Whistler
fijwhi1,Yellow-throated Fiji Whistler,Yellow-throated Fiji Whistler
ytfwhi1,Yellow-throated Fiji Whistler (Yellow-lored),Yellow-throated Fiji Whistler (Yellow-lored)
ytfwhi2,Yellow-throated Fiji Whistler (Black-banded),Yellow-throated Fiji Whistler (Black-banded)
fijwhi7,Yellow-throated Fiji Whistler (Taveuni),Yellow-throated Fiji Whistler (Taveuni)
samwhi1,Samoan Whistler,Samoan Whistler
tonwhi1,Tongan Whistler,Tongan Whistler
necwhi3,New Caledonian Whistler,New Caledonian Whistler
guhwhi1,Hooded Whistler,Guadalcanal Hooded Whistler
bohwhi1,Bougainville Whistler,Bougainville Hooded Whistler
biswhi1,Bismarck Whistler,Bismarck Whistler
biswhi4,Bismarck Whistler (Manus),Bismarck Whistler (Manus)
biswhi7,Bismarck Whistler (Bismarck),Bismarck Whistler (Bismarck)
louwhi1,Louisiade Whistler,Louisiade Whistler
temwhi2,Nendo Whistler,Nendo Whistler
temwhi3,Utupua Whistler,Utupua Whistler
temwhi4,Vanikoro Whistler,Vanikoro Whistler
oriwhi1,Oriole Whistler,Oriole Whistler
oriwhi12,Oriole Whistler (North Solomons),Oriole Whistler (North Solomons)
oriwhi10,Oriole Whistler (Vella Lavella),Oriole Whistler (Vella Lavella)
oriwhi6,Oriole Whistler (Malaita),Oriole Whistler (Malaita)
oriwhi5,Oriole Whistler (Guadalcanal),Oriole Whistler (Guadalcanal)
oriwhi11,Oriole Whistler (Makira),Oriole Whistler (Makira)
renwhi1,Rennell Whistler,Rennell Whistler
rubwhi1,Rusty-breasted Whistler,Tenggara Whistler
rubwhi3,Rusty-breasted Whistler (Rusty-breasted),Tenggara Whistler (Rusty-breasted)
rubwhi5,Rusty-breasted Whistler (Flores Sea),Tenggara Whistler (Flores Sea)
rubwhi7,Rusty-breasted Whistler (Sumba),Tenggara Whistler (Sumba)
yetwhi3,Rusty-breasted Whistler (Timor),Tenggara Whistler (Timor)
rubwhi2,Selayar Whistler,Selayar Whistler
yetwhi1,Yellow-throated Whistler,Moluccan Whistler
molwhi1,Yellow-throated Whistler (Moluccan),Moluccan Whistler (Moluccan)
yetwhi11,Yellow-throated Whistler (Tanimbar),Moluccan Whistler (Tanimbar)
yetwhi6,Babar Whistler,Babar Whistler
bkcwhi1,Black-chinned Whistler,Black-chinned Whistler
bkcwhi5,Black-chinned Whistler (North Moluccan),Black-chinned Whistler (North Moluccan)
bkcwhi4,Black-chinned Whistler (Obi),Black-chinned Whistler (Obi)
golwhi2,Baliem Whistler,Baliem Whistler
y01193,Australian Golden/Western Whistler,Golden Whistler
weswhi2,Western Whistler,Golden Whistler (Western)
golwhi1,Australian Golden Whistler (Australian),Golden Whistler (Eastern)
golwhi9,Australian Golden Whistler (Norfolk),Golden Whistler (Norfolk)
bltwhi1,Mangrove Golden Whistler,Black-tailed Whistler
yetwhi5,Mangrove Golden Whistler (Damar),Black-tailed Whistler (Damar)
bktwhi5,Mangrove Golden Whistler (Black-tailed),Black-tailed Whistler (Papuan)
bktwhi2,Mangrove Golden Whistler (Pilbara),Black-tailed Whistler (Pilbara)
